AS,001,A,Air Force ROTC Physical Training,41466,6:30 am,7:30 am,M,John David Anthony  Gasa ,Chiles Center MEZ,1.000

AS,002,A,Air Force ROTC Physical Training 2,41467,6:30 am,7:30 am,M,John David Anthony  Gasa ,Chiles Center MEZ,1.000

AS,003,A,Air Force ROTC Physical Training 3,41468,6:30 am,7:30 am,M,John David Anthony  Gasa ,Chiles Center MEZ,1.000

AS,004,A,Air Force ROTC Physical Training 4,41469,6:30 am,7:30 am,M,John David Anthony  Gasa ,Chiles Center MEZ,1.000

AS,005,A,Air Force ROTC Physical Training,41470,6:30 am,7:30 am,M,John David Anthony  Gasa ,Chiles Center MEZ,1.000

AS,102,A,Foundations of The U.S. Air Force,41471,10:00 am,11:30 am,T,John David Anthony  Gasa ,Kenna Hall HANGER,1.000

AS,102,B,Foundations of The U.S. Air Force,41472,2:00 pm,3:30 pm,T,Bryan Richard  Scism ,Kenna Hall HANGER,1.000

AS,112,A,Leadership Laboratory,41473,4:10 pm,6:00 pm,T,John David Anthony  Gasa ,Buckley Center AUD,0.000

AS,202,A,The Evaluation of USAF Air & Space Power,41474,8:00 am,9:30 am,T,Larry B  Ingersoll ,Kenna Hall HANGER,1.000

AS,202,B,The Evaluation of USAF Air & Space Power,41475,12:00 pm,1:30 pm,T,Larry B  Ingersoll ,Kenna Hall HANGER,1.000

AS,212,A,Leadership Laboratory,41476,4:10 pm,6:00 pm,T,John David Anthony  Gasa ,Buckley Center AUD,0.000

AS,302,A,Leadership & Management,41477,8:00 am,9:30 am,TR,Drew Marie  Lindley ,Franz Hall 229,3.000

AS,312,A,Leadership Laboratory,41478,4:10 pm,6:00 pm,T,John David Anthony  Gasa ,Buckley Center AUD,0.000

AS,402,A,National Security Affairs & Preparation for Active Duty,41479,7:00 am,8:30 am,TW,John David Anthony  Gasa ,Kenna Hall BSMT,3.000

AS,412,A,Leadership Laboratory,41480,4:10 pm,6:00 pm,T,John David Anthony  Gasa ,Buckley Center AUD,0.000

AS,415,A,Leadership Laboratory,41481,4:10 pm,6:00 pm,T,John David Anthony  Gasa ,Buckley Center AUD,0.000

BIO,005,A,BIO 205 Workshop,40002,4:50 pm,5:50 pm,M,Amy S  Beadles-Bohling ,Franz Hall 111,0.000

BIO,005,B,BIO 205 Workshop,40003,6:00 pm,7:00 pm,M,Amy S  Beadles-Bohling ,Franz Hall 111,0.000

BIO,005,C,BIO 205 Workshop,40004,4:50 pm,5:50 pm,T,Amy S  Beadles-Bohling ,Franz Hall 033,0.000

BIO,005,D,BIO 205 Workshop,40005,6:00 pm,7:00 pm,T,Amy S  Beadles-Bohling ,Franz Hall 033,0.000

